TCGA_BR_PFS	TCGA_BR_OS	META_BR_PFS	META_BR_OS	TCGA_SKCM_PFS	TCGA_SKCM_OS	TCGA_LUAD_PFS	TCGA_LUAD_OS	TCGA_LUSC_PFS	TCGA_LUSC_OS	TCGA_HNSC_PFS	TCGA_HNSC_OS	TCGA_COAD_PFS	TCGA_COAD_OS	TCGA_KIRC_PFS	TCGA_KIRC_OS	train_prop	ntrees	PC
0.673450141	0.317698449	0.154656736	0.067818514	0.025962326	0.07506519	0.452295311	0.758801248	0.299726372	0.49118854	0.14747488	0.137195546	0.315663816	0.833846084	0.217115816	0.088536621	35	400	1
0.482804088	0.392285551	0.19177682	0.091620673	0.025962326	0.07506519	0.452295311	0.758566154	0.309474757	0.425113274	0.165608857	0.16347642	0.32904283	0.849474773	0.217115816	0.088536621	35	450	1
0.482804088	0.392285551	0.21932453	0.100591937	0.025962326	0.07506519	0.758457983	0.954003553	0.286746895	0.480283605	0.206700545	0.16143011	0.419494372	0.841235497	0.217115816	0.088536621	35	500	1
0.197926026	0.71654111	0.091828296	0.052563351	0.193208412	0.090972766	0.880431713	0.7101534	0.078865036	0.077356991	0.845297652	0.784602517	0.499136647	0.881333403	0.106013767	0.110651512	40	10	1
0.079722749	0.421658233	0.016165612	0.014105645	0.076229985	0.197627148	0.657555134	0.508393019	0.17470089	0.139819196	0.707939777	0.413380145	0.856775167	0.334881468	0.119122557	0.062241449	40	15	1
0.143458681	0.598628171	0.084095375	0.021307147	0.108204333	0.129203038	0.371039816	0.174544576	0.584234262	0.653452921	0.214996761	0.266965889	0.573541094	0.605190753	0.150090077	0.168011841	40	25	1
0.147037742	0.220816984	0.172337215	0.100254948	0.123433667	0.220461051	0.992973238	0.57854392	0.634685238	0.984612423	0.660281339	0.680536554	0.213395615	0.981415509	0.175360323	0.109799376	40	50	1
0.398791589	0.685879936	0.113133923	0.045827953	0.064958186	0.170511996	0.991809326	0.492213102	0.787080873	0.822231718	0.874009331	0.884295428	0.242449929	0.955403109	0.255712881	0.151538683	40	75	1
0.63075136	0.571691051	0.233002718	0.129351015	0.113495882	0.220461051	0.962100826	0.640883624	0.574682335	0.720871363	0.46705637	0.589002365	0.160433779	0.962825642	0.174904626	0.152095583	40	100	1
0.516957379	0.494502504	0.125199321	0.058488808	0.069870584	0.165051798	0.931333381	0.693439273	0.571846568	0.696746064	0.827109164	0.958908069	0.137044834	0.762297731	0.27711371	0.129264275	40	175	1
0.491294195	0.479195938	0.120617571	0.061395963	0.069870584	0.165051798	0.992953561	0.688507366	0.534758541	0.773634816	0.922804366	0.937546057	0.189521302	0.730066542	0.298205649	0.154813324	40	190	1
0.594577767	0.66963693	0.120617571	0.061395963	0.069870584	0.165051798	0.89858369	0.585477436	0.43031752	0.679889913	0.795046106	0.939567023	0.274169399	0.935531867	0.426552065	0.185126401	40	200	1
0.416212652	0.424030054	0.105559571	0.053578987	0.069870584	0.165051798	0.975082861	0.656785583	0.449501332	0.603145327	0.795046106	0.939567023	0.274169399	0.935531867	0.361612655	0.158956237	40	225	1
0.416212652	0.424030054	0.085201485	0.04239765	0.133475366	0.281816423	0.820232418	0.524871283	0.395890709	0.54997881	0.695529548	0.947514394	0.274169399	0.935531867	0.260301937	0.11615249	40	250	1
0.416212652	0.424030054	0.087823191	0.044399188	0.133475366	0.281816423	0.91930718	0.626934082	0.420862087	0.5444509	0.757737995	0.972512981	0.274169399	0.935531867	0.355774644	0.19673616	40	275	1
0.622747563	0.687752768	0.099774279	0.052667325	0.133475366	0.281816423	0.875739473	0.767705754	0.420745772	0.578774521	0.792538002	0.939780799	0.315948684	0.981826828	0.26334455	0.151822817	40	300	1
